full_text,tweet_id,screen_name,user_id,created_at,lang,location,time_zone,verified,listed_count,favourites_count,statuses_count,friends_count,followers_count
"This past weekend the Malvern Prep and Malvern Prep Baseball community received sad news that former Head Coach (99-09), Teacher, and Alum, Mike Hickey, had passed away. We send our condolences and keep his family in our thoughts and prayers #RIPHick 🙏

https://t.co/773JDqvUXz",1560053070528217088,MPFriarBaseball,1071493782,2013-01-08 17:33:07,,"Malvern, PA",,False,8,7336,4810,1668,2641
Congratulations to ⁦@jack_bakus⁩ and ⁦@zackparker09⁩ for being named to the American Legion World Series all tournament team!  ⁦@Dowathletics⁩ ⁦@BerryhillP165⁩  https://t.co/LoREXivahP,1560053024843776000,BaseballDow,1378520511601328128,2021-04-04 01:31:45,,"Midland, MI",,False,1,132,251,50,139
"PV Sindhu pulls out of World Championships owing to stress, fracture https://t.co/dORSsgRpxx",1559815415987142659,theindpanorama,797770519,2012-09-02 07:51:09,,"New York, USA",,False,61,49,23353,142,793
"1st 3 wks post TKR woke up most nights w/ pain. NORMAL. Kept consistent habits, bed only 4 sleep, minimal naps. Hit 3.5 weeks, BOOM, sleeping thru night again.  Behavioral strategies work. No meds needed! Even 4 women above a certain age 😉 (someone oughta tell Lindsey Vonn)",1559949866079502340,DrMShapiroIA,3226721463,2015-05-01 19:30:38,,"Grimes, IA",,False,25,14149,7797,577,1298
"“When you fall, get right back up. Just keep going, keep pushing it.” — Lindsey Vonn #BTSGuruInspireMe",1558938766223429633,BTSSportsGuru,1441684115351212041,2021-09-25 08:41:27,,"Miami, FL USA",,False,3,630,4577,5000,1356
"“Life changes very quickly, in a very positive way, if you let it.” Lindsey Vonn

SFlendid NIGHT WITH KDLEX 

#ALEXAfabStarOnTheWarfield

#SFectacularNightWithKD

@alexailacad @kdestrada_",1558256584370933761,monett_nael,862475564,2012-10-05 03:53:04,,NJ,,False,0,9833,36917,1504,1152
"I never saw this covered on the @GolfChannel where hypocritical anchors talk about tiger upholding the purities and traditions of golf. This Catholic calls it pure adultry. 
https://t.co/Ly5pTgQfWd",1557697827563868161,digital_trav,2366118049,2014-02-28 21:26:06,,USA,,False,13,16196,59838,1689,678
"Get the Look: Lindsey Vonn at the 2022 ESPY's: Celebrity hairstylist and Aquage brand ambassador Laura Polko shows her how-to at this year's Espy Awards, working on Alpine skier Lindsey Vonn. https://t.co/en11MpUOZn",1557397118989377536,ModernSalon,23993912,2009-03-12 18:01:51,,"Chicago, Illinois",,False,390,5906,15151,678,53663
"I wish I watched more basketball as a youth, spent my time watching the Knicks, should have watched other teams played more. and collected basketball cards",1560053822722134019,bblessmusic,117265850,2010-02-25 02:13:02,,New York,,False,11,11055,28121,4328,3356
This is why I am protesting the professional utah basketball team https://t.co/8HfHmhDpOd,1560053798009053184,Jeremy_Atkin69,2793541384,2014-09-30 04:05:50,,"Bluffdale, UT",,False,0,3472,1533,293,167
Blazers basketball… 🔜👀 #RipCity https://t.co/uZwQLSwrzx,1560053753860034560,brockdickerson0,1013471126507413504,2018-07-01 17:15:20,,"Indianapolis, IN",,False,4,18669,9432,393,276
Aubrey Plaza Played Rec League Basketball With Matt Gourley’s Wife | Conan O’Brien Needs A Friend https://t.co/2nuygsuCWP,1560053688873455616,medicinehelp,49404200,2009-06-21 19:35:30,,"Atlanta,GA",,False,53,1,1993489,1868,1411
"“Basketball is a metaphor for life.”

- @dallasmavs GM Nico Harrison

#BSPNTX https://t.co/KKIQLZOscq",1560053579460878338,BSPNTX,1322109438136705024,2020-10-30 09:33:49,,"Dallas-Fort Worth, TX",,False,1,211,182,254,137
"End of Regulation. Tied at 56. Free basketball tonight for those in attendance.

3:00 to decide a Champion",1560053564239749121,Suttonhoops,164301532,2010-07-08 14:53:48,,"Sutton, MA",,False,0,2,209,0,105
"IT'S GOING TO BE EPIC 🔥

Gary Payton II can't wait to play in Seattle in October -- and he shares why with @CoachKarl22  + @brettmgoldberg 

🔗: https://t.co/NvcUZWejsF https://t.co/hKZx1Fmwga",1560053518119346176,SeattleSonics,22183255,2009-02-27 20:08:16,,Seattle ,,False,199,5230,3473,206,32216
"It’s a great day!!! One of our former 4 year  player, @LiLMalmal52 (Jamal Garner) was selected as the Head Coach for Illinois School for the Deaf!!His student athletes will be so lucky to have a wonderful man teaching them about life and basketball!!!! Good luck Coach Garner!!!",1560053483654594567,GUCoachKovacs,3290283758,2015-07-24 15:57:20,,"Washington, DC",,False,9,1770,2444,393,787
a man in a basketball jersey unfortunately does it for me 😭😭😭😭😭😭😭😭😭😭,1560053425299001344,hotboithai,1229162347517767681,2020-02-16 21:55:21,,"Sacramento, CA",,False,0,3455,5900,193,142
"We talk to our bestie Anna T (@tarullotweets) about UK football and basketball, shirt tags, hummus, and much more. The end of our 1st Colossal #Castoff.

https://t.co/xq5OSm1tju",1560053405103562754,KySportsGuys,2257043227,2013-12-21 23:25:15,,"Kentucky, USA",,False,18,27042,18767,666,1549
REVEALED: Insufferable Details from Inside the Russian Prison Where WNBA Star Brittney Griner Has Been Detained https://t.co/2Rk0jmHhKy,1560053219715416067,TatYan7777,1440561686264500229,2021-09-22 06:21:02,,"Miami, FL",,False,3,29477,7480,240,96
Albright Basketball Camp ‘22 🏀 https://t.co/o9dZpHeq1G,1560053180175712257,PressFastFwd,1559593816155357185,2022-08-16 17:32:17,,"Reading, PA",,False,0,27,10,13,2
Informative discussion today with a Div. II Basketball coach regarding their recruiting strategy and niche. #FloridaBasketballBulletin,1560053070750433281,tperkinsbball23,236160906,2011-01-09 23:25:08,,"Fort Myers, Florida",,False,21,7497,34611,7162,11591
@Ambrose_Mosley is the director of player personnel for the Eastern Kentucky University Colonels. https://t.co/imKXl86qeO #basketball #EasternKentuckyUniversity #EKUColonels #Richmond #Kentucky #ASUN #NCAADI #TheCannonNetwork https://t.co/ekHCjrnSnD,1560052870610882560,Cannon_Network,953114642615709696,2018-01-16 04:00:13,,"Palm Desert, California ",,False,3,1218,70371,3254,3515
"Breathe in
Breathe out 
Almost playoff time 

#naturephotography #wnbafan #phdlife #wnbaplayoffs #writerslife #basketball https://t.co/joo559nffi",1560052853674229760,JSumerau,1479053024,2013-06-03 07:00:45,,"Orlando, FL",,False,17,23777,14720,810,1356
"Update: I can absolutely throw a baseball better than I can shoot a basketball. 😅

He knew he could’ve caught that tho. 🙄 And one thing about Aaliyah, she gonna root for me. 😂 https://t.co/b1NLu7Dcas https://t.co/Nu9ZrX9ftI",1560052701634994178,SubriaWhitaker,184095603,2010-08-28 17:44:49,,"South Side, Chicago",,False,47,6855,88374,2026,5137
I love this game of basketball. #Grateful https://t.co/xutAsxRaS3,1560052649264906241,PropsByDom,1529112181593329668,2022-05-24 14:48:54,,"Wisconsin, USA",,False,2,668,736,767,920
Why do ppl think football &amp; basketball is the only “disciplined” sports… like they can’t learn values from other sports…,1560052565483704322,LyssaWebb_,721059400,2013-10-18 17:07:16,,"Sloan, NY",,False,7,6294,101222,891,1542
"Gerald Green - Top 5 Dunk of All Time? #geraldgreen #nba #basketball #alleyoop #windmill #legend #dunk #highlight #crazy #amazing #hops #air #reel #reels #reelsinstagram #letsgo #insane #jump #nets #assist #score #aw #athletic #whoa
https://t.co/vAXwaQMTez",1560052560911810560,hekbeatsboy,3038539771,2015-02-23 21:25:30,,"Houston, TX",,False,1,7520,8122,715,1080
"getting back into my basketball obsession/education sooo @Cat_Marnell, fave book you’ve read??",1560052550182780931,darbs1015,1090462040177733635,2019-01-30 04:09:44,,"Atlanta, GA",,False,0,26130,1627,324,35
"N8207T is circling over Ravensdale at 2050 feet, speed 84 MPH, 0.4 miles from Basketball Park https://t.co/J8lj6REh5c https://t.co/GSTUlV3jNA",1560052192412807173,SkyCircleSEATAC,1472731325308096512,2021-12-20 00:51:57,,"Seattle, WA",,False,6,0,5655,0,151
"Special! Couldn’t happen to a better kid! @NEBscottp @JSully12 

#rollNEB #TheBestPlayHere https://t.co/zmhX3CxPeG",1560053126287220737,NorthEast_BBall,756711408092479492,2016-07-23 04:43:53,,"256 Ayer Road, Harvard, Ma",,False,8,5935,8256,1612,4873
Unbelievable.......@JSully12 @baty_brett remind me of some at bats at lakepoint lol....@NorthEast_BBall https://t.co/IS3eAyVec9,1560052034451259392,NEBscottp,197300088,2010-10-01 03:51:54,,Boston,,False,18,14451,9819,1401,3433
"I would like to thank @FcsGbb 
2026 @Maya_sports5 &amp; @Lady_Mavs_Bball 27’ CG @lillie_graves12 for getting in the gym w/me &amp; putting in some really good work.  I Appreciate the commitment to get better! https://t.co/6eSaHEh7BA",1560046752467767296,INBestBBall,2960921980,2015-01-04 20:40:23,,"Lafayette, Indiana",,False,7,8896,3503,2278,2120
"🚨 HS football Live 2022
🏈 Palmetto 🆚 Cardinal Gibbons
📅 August 18 @ 6p.
🎥 https://t.co/BSSyHIF6ib 🏆
Like,followw and share !!!
@PalmettoHigh @PalmettoFBall @PalmettoTigerHS @CGHS_BBALL @FootballGibbons @CGHSChiefs @CGHSFL https://t.co/1xCmKwyLXI",1560046702970937344,fox_football1,2362056666,2014-02-26 03:34:32,,USA,,False,0,108,18,61,166
"🔥AAU Season Rewind: Legends U vs. Southwest Elite Game Recap &amp; Standout Players🔥

⛹️‍♀️ @DavisTwins123 @MykaylaCunning2 @2023Carli @Legends_Bball @SW_Elite_ &amp; more! 

https://t.co/7c7wXZcSVN",1560038765812391938,jrallstarOH,1306739889963180032,2020-09-17 23:40:50,,"Ohio, USA",,False,0,152,349,530,519
The best 🎥 of my #aau summer #basketball 🏀 game ⬆️ @simplyy_bball @westcoastpreps_ @NBNMagazine @RonMFlores @Trigonis30 @FrankieBur @gerryfreitas @PrepHoops @NorCalPreps @wrightsbball @TopPreps @Unit1HoopSource @StellarHoops @raj_manjrekar https://t.co/3NvjBEXE1B,1560035287664713728,ZanderJimenez4,1241829717470150656,2020-03-22 20:51:02,,"Hercules, CA",,False,0,1383,61,150,100
Damn man you mean we gotta go another month and a half without bball,1560027406450262016,1jetrara,1204520114919526400,2019-12-10 21:56:34,,DC | NC,,False,0,2914,28184,491,704
@LasCulturistas how do the readers spell their new name? Apply the Taylor vs. Tayla paradigm? Katie vs. Cady 📝,1560034516533641216,JesseFMangold,2959495029,2015-01-04 02:05:38,,"New York, NY",,False,5,18548,1052,1618,930
Brooke tells ridge Taylor is no stranger neither was bill when she slept with while married to Katie he also wasn’t no stranger when she kissed him last so her point is 🤷🏾‍♀️ Brooke is a hypocrite #BoldandtheBeautiful,1559957827132821504,Cece2k17,917365365889490944,2017-10-09 12:25:21,,"Mississippi, USA",,False,0,1559,1855,634,106
Women Boxing in Ireland: Katie Taylor – The True Superhero of Women’s Boxing  (via @SportfusionApps #Boxing #News) https://t.co/NPzgNgv00U,1559947340819140610,GeneralUSArmies,1558190766895370241,2022-08-12 20:36:58,,"South Carolina, USA",,False,1,110,254,1187,29
'It exceeded my expectations' | Taylor reflects on iconic night in New York https://t.co/C0qNDv5JOY,1559933738045149184,dw504966,541121097,2012-03-30 18:36:57,,"Quail Run, Fremont, CA 94555 ",,False,18,2022,286316,2503,2437
"The world needs more Katie Porters and fewer Lauren Boeberts, Matt Gaetzs and Marjorie Taylor Greenes!",1559905494382387203,DavidBe70498419,1325196168960339968,2020-11-07 21:59:43,,"South Dakota, USA",,False,0,7773,3087,588,271
Our @SBJohnAdamsHigh @jaenglishdept’s Ms Katie Taylor is getting pumped up for the @JASection by showing off her new classroom wall art. #AdamsEaglesProud https://t.co/LYx6Ihbo8W,1559881934817447939,JAParentGroup,2728590852,2014-08-13 05:17:19,,"South Bend, IN",,False,3,19802,8810,599,884
"@alfranken 
Don’t forget u have a very important question to ask @RepKatiePorter about a job for Dylan Taylor.
It’s just his life, what little future he may or may not have is right now in ur hands.
He needs a break not like he had Katie’s parents. 
U know her sister is a Dr?",1559706387273289728,farrarpjoy,190799144,2010-09-14 21:34:17,,"Long Beach, CA",,False,53,13610,205166,5036,4592
"Jake Paul brands Katie Taylor ""scared"" after response to $2million fight offer https://t.co/Dd9aA0KBOR",1559660007284584448,dw504966,541121097,2012-03-30 18:36:57,,"Quail Run, Fremont, CA 94555 ",,False,18,2022,286316,2503,2437
"This year we’d like to spotlight our English teachers. This is Ms. Katie Taylor, who teaches English 10 and 11, next to the new gallery wall in her classroom. https://t.co/FkFd1FxdL5",1559638425191546880,jaenglishdept,1129135393327190030,2019-05-16 21:23:50,,"South Bend, IN",,False,0,120,34,34,63
Katie Taylor's fight with Cris Cyborg moves step closer as MMA star confirmed to make boxing debut next month https://t.co/Mhku3ZdIDw,1559574070890377216,dw504966,541121097,2012-03-30 18:36:57,,"Quail Run, Fremont, CA 94555 ",,False,18,2022,286316,2503,2437
Here once again to say candlepin is the superior form of bowling.,1560052778034135040,SavingNovember,17176363,2008-11-05 01:44:48,,"Chicago, IL",,False,4,102647,40728,289,149
Packing for the first time in a while with no bowling balls! This is a great feeling 🙌,1560052023021674498,amandanards,338230165,2011-07-19 08:06:43,,"New Jersey, USA",,False,3,47059,12817,2403,673
I had a great time bowling &amp; bonding with the @EcAchieve English department &amp; Parental Involvement team members this afternoon! 🐆💛🖤💛 https://t.co/lKtnH7Q2K1,1560050265394487296,readwritelearn,3235532023,2015-06-03 22:32:46,,"McAllen, Texas",,False,4,4235,1513,401,185
I hate bowling https://t.co/RggvH4bcNY,1560048552214233090,AlexanderWozny,2418601687,2014-03-30 06:43:46,,"Ottawa, Ontario",,False,20,9213,4479,882,430
"Billed as ""Third Thought"". From 2015 and 2016! Also did the Bowling Green, Ohio ""Great Black Swamp"" fest of 2016 and 2017! Did it for ""exposure"" lol https://t.co/NiVE4sqesu",1560048355463626754,mingles0890,1513963094,2013-06-13 17:16:09,,"Fremont, Ohio",,False,1,5478,4266,3869,2034
At the bowling alley with the family https://t.co/jELHoNQUZe,1560048123887730689,Jason_Gilliam05,75050711,2009-09-17 16:25:29,,Chicago,,False,48,565618,365637,5003,4471
"Eastchester–Dyre Av/Woodlawn-bound 4, 5 trains are currently delayed between Nevins St and Bowling Green, and at Nevins St.",1560047085394821120,goodservice_4,1384197995554430976,2021-04-19 17:32:47,,"New York, NY",,False,1,0,8127,21,55
"Eastchester–Dyre Av/Woodlawn-bound 4, 5 trains are currently delayed between Nevins St and Bowling Green, and at Nevins St. https://t.co/rJgocDKkaM",1560047083427708928,goodservice_io,1035181128909508613,2018-08-30 15:03:08,,"Brooklyn, NY",,False,7,13,202560,23,420
my mother in law beat me out for a spot on a bowling team this weekend 🥸,1560046884907098112,_sgm22,897464056839360513,2017-08-15 14:24:40,,"Dallas, TX",,False,0,13788,5752,123,141
"@JoeBiden it is time for a Uniting for Afghanistan program to get our former  interpreters and then heir families out. If we can bring Ukrainians here, we can do the same for the Afghans who served us. Please do this now! Thank you.",1560046633878003712,bowling_donna,1470993644,2013-05-31 00:45:28,,Texas,,False,5,121706,42510,2282,1363
At the bowling alley with the  family https://t.co/ciKDy3MHzv,1560046391782789123,Jason_Gilliam05,75050711,2009-09-17 16:25:29,,Chicago,,False,48,565618,365637,5003,4471
"Agreed, but not for bowling…I like little dinky bar with a pool table and hot dogs that have been going round and round on that machine since 1973. 😁 https://t.co/CT2LhJN1rC",1560046112693633028,synbad27,877063932,2012-10-13 04:50:21,,"San Diego, CA",,False,6,70794,72550,971,173
"NWSL has a tough hill to climb after the Euros this year…

https://t.co/h5lHcfm96X",1559955373750161408,a2NavArc,1212429219256397824,2020-01-01 17:44:12,,"Ann Arbor, MI",,False,2,6750,3293,283,409
Listen to @mPinoe. Investment in women's football/soccer needs to happen NOW. https://t.co/1pclIlzqgy,1559524832659775488,mpressmeredith,234548688,2011-01-05 23:00:24,,"New Haven, CT",,False,31,12112,21544,364,694
"When Megan Rapinoe met Ada Hegerberg: ‘Euro 2022? Everyone was late to the party’,,https://t.co/IZWuB7ooCq",1559523341047713793,eltaszone,1108065705755402243,2019-03-19 18:00:25,,"Suwanee, GA",,False,0,19,18810,141,13
Rapinoe fantastic here: ‘Euro 2022? Everyone was late to the party’ https://t.co/wYdqymKRBr,1559519805870428162,adecolley,313584362,2011-06-08 21:56:57,,Brighton,,False,52,5629,10064,4086,1156
"The Ballon d’Or winners come together to discuss England’s Euros triumph, next year’s World Cup and their teams’ sorority

https://t.co/tsqkELuz58",1559517056684498945,SEW_women,1361710118698684417,2021-02-16 16:13:00,,"Washington, DC",,False,0,405,2872,140,25
When Megan Rapinoe met Ada Hegerberg: ‘Euro 2022? Everyone was late to the party’ https://t.co/7DJLMO8RAe https://t.co/XylilsQktV,1559489208808521728,drpatfarrell,42660725,2009-05-26 16:34:32,,United States,,False,453,162,590755,10191,9545
When Megan Rapinoe met Ada Hegerberg: ‘Euro 2022? Everyone was late to the party’ https://t.co/QLBGJVsDaF https://t.co/4E0v60E5AW,1559479630695845888,geraldmccool11,842220290457382912,2017-03-16 03:45:39,,"Virginia, USA",,False,1,2,21287,732,283
When Megan Rapinoe met Ada Hegerberg: ‘Euro 2022? Everyone was late to the party’ https://t.co/XUmTIqu8NG,1559453234279890944,orkitecht85,192034523,2010-09-18 00:48:35,,Bedford,,False,10,51844,20266,4285,988
When Megan Rapinoe met Ada Hegerberg: ‘Euro 2022? Everyone was late to the party’ https://t.co/Im2fvhOBWj,1559453166722097153,GdnUSsports,389462152,2011-10-12 13:25:57,,United States,,False,371,274,22841,312,11555
ITS HUMP DAY!! Our 100-REPs class was on FIRE tonight!! Join us tomorrow for Kick-boxing and continue to work towards your goals!!,1560053428071661569,xbodyfitness,167030542,2010-07-15 15:52:35,,"Cary, NC",,False,7,11,369,123,108
When you got that glow …. https://t.co/d6UVuMVFyi,1560053071648014337,boxing_bird81,1362124874580451331,2021-02-17 19:41:22,,"Under your skin, USA",,False,18,38397,16755,2403,2975
"Discover exciting new music now:  https://t.co/XkjeoIhHNB

#joshuausyk #joshuausyk2 #usykjoshua #anthonyjoshua #alexanderusyk #heavyweight #wbo #wba #ibf #dazn #skysportsboxoffice #matchroom #boxing #acetv https://t.co/touMVbTSeZ",1560053009664450561,LaydenRobinson,42290868,2009-05-24 22:04:27,,"San Diego, CA",,False,1654,169746,847867,94979,86374
"Discover exciting new music now:  https://t.co/XkjeoIhHNB

#joshuausyk #joshuausyk2 #usykjoshua #anthonyjoshua #alexanderusyk #heavyweight #wbo #wba #ibf #dazn #skysportsboxoffice #matchroom #boxing #acetv https://t.co/XpFg4Zh5lO",1560052887140519937,LaydenRobinson,42290868,2009-05-24 22:04:27,,"San Diego, CA",,False,1654,169746,847867,94979,86374
"@PearlandCoffeeRoasters ad that will be on all skirts at the fight. The matches are exciting fun and so is the marketing!
#boxing #boxinglife #boxingworld #boxingads #ads https://t.co/NSFcgP0ECs",1560052770308345856,boxwithtermite,1461009165896372224,2021-11-17 16:33:00,,"Houston, TX",,False,0,212,120,164,21
"Sam Hyde invites Whiggaz 2 spar , WHiggaz rooting for Sam August 27th vs #IAMTHMPSN ! Original WHiggaz 9:40pm EST https://t.co/P4hpeuPtCI #livestream #boxing #fightnight #samhyde #tiktok #mde #haters # https://t.co/GXPqE4zUAw",1560052697616617472,UncleDustComedy,765227671882125316,2016-08-15 16:44:29,,"San Bernardino, CA",,False,16,18133,8517,740,637
"I’ll be honest there’s been a lot of problems as of late, so i haven’t gone to the boxing gym in almost two months. Well I finally got the mental fortitude to go back to the boxing gym and my coach was happy to see me. He even said my boxing was still amazing, I needed that 😩",1560052608869482496,CommanderShota,916754711021326336,2017-10-07 19:58:50,,"Harlingen, TX",,False,0,5023,1652,70,186
"Roger Mayweather Comments On Pacquiao vs Marquez 4: ""Marquez MUST Have That SH*T in Him"" @shosports #boxing https://t.co/3qGKa33qNH",1560051276037111809,boostjockster,259178202,2011-03-01 09:07:29,,"San Diego, CA",,False,76,2,137125,5528,5622
"Listen, neither is a true blockbuster or a title fight, but putting names like Wilder and Plant on the same card is progress for boxing. https://t.co/sgil4HYhxx",1560051242122059776,TDExperience,374239522,2011-09-15 23:34:09,,"Concord, NC",,False,18,8651,19314,3971,1134
Dude is talking about fighting Canelo in a boxing match. If fame hasn’t got to him something else has. https://t.co/KwKieP9YKQ,1560050604470419456,mrejr8234,45038921,2009-06-06 00:21:08,,"Taylorville, IL",,False,34,4642,112833,766,480
"Sipping before women crushing it Wednesdays 8pm CT/9 pm EST

https://t.co/1ZAF2qSW90 https://t.co/xkZtV4shkF",1560050581540061185,boxing_bird81,1362124874580451331,2021-02-17 19:41:22,,"Under your skin, USA",,False,18,38397,16755,2403,2975
Vansickle Boxing/ SkrapHouse was lit. Found my new home gym 💪🏻💨,1560050542713667584,Tyler_James0317,2147815670,2013-10-21 20:58:04,,"Ashville, OH",,False,11,66504,41062,1436,938
"Next up. All of these MMA/boxing illustrations are for a larger project I’ve been working on for awhile, that I can’t quite talk about. Soon. Very soon. #MikeTyson #boxing #art https://t.co/ZDxehb3X5D",1560049080427880448,averagejoeart,11892682,2008-01-06 01:16:35,,"Orange County, CA",,False,122,8879,112976,2982,3581
"End of Regulation. Tied at 56. Free basketball tonight for those in attendance.

3:00 to decide a Champion",1560053564239749121,Suttonhoops,164301532,2010-07-08 14:53:48,,"Sutton, MA",,False,0,2,209,0,105
"David McCullough as a champion of historic #preservation https://t.co/dYrg5DRK3v 
“what does it say about us, our values &amp; our regard for those who will follow, if we...stand by while others destroy historic America...in the name of so-called progress &amp; corporate profits?“",1560052994829426691,CitizenWald,9516022,2007-10-18 06:23:14,,"Amherst, MA",,False,221,27162,73329,4985,3851
"2022-2023 Roster Announcement 🚨

We are back, continuing with our returners 😤

Next up, we have Paolo, also from Mexico City, Mexico 😎

He enjoys listening to Bad Bunny while watching the NBA Champion, GS Warriors 🤟🏽 📈 
Check out the rising Sophomore below ⬇️ https://t.co/9Oj8mZ8WhC",1560052935765200899,MtAloysiusMBB,1445230037234556934,2021-10-05 03:31:16,,"Cresson, PA",,False,0,67,97,49,146
And the fall camp bellyflop champion is… https://t.co/9rNSD12L02,1560052392820891650,JacobMarxhausen,1397389193647693827,2021-05-26 03:08:52,,"Minnesota, USA",,False,2,48,32,481,79
Leon Edwards: UFC fighter’s rise to world champion contest &amp; escaping his ‘darkest years’ https://t.co/WNCM1O9xQK,1560052324994891779,CtpTimes,1400431467390377989,2021-06-03 12:38:00,,United States,,False,1,100,15001,80,65
"Contract signed!
With this post, I am ecstatic to announce my return to the diamond as a full-time Assistant Baseball Coach, at three-time National Champion Linfield University, in Oregon. #RollCats #LinfieldBSB #LinfieldBase https://t.co/gM5q26y5y9",1560052227007455237,coachjsbsb,3060148861,2015-03-03 16:42:28,,"McMinnville, OR",,False,3,17200,2087,41,1138
It’s her senior year &amp; she was so excited to come back to help with Freshman Orientation today‼️ You continue to amaze me with your kindness &amp; enthusiasm @yanira_finley This is your big year &amp; we can’t wait to champion you every step of the way! @CabarrusWest @CabCoSchools https://t.co/gaYmxkRId5,1560052196275798025,KrinaPressley,1032964323335962626,2018-08-24 12:14:21,,"Concord, NC",,False,3,1034,419,241,215
#Happybirthday my son prince true champion 🏆🥇💙 https://t.co/qQTF1Z17QZ,1560052109193641986,whiteshane5806,3327537526,2015-06-15 17:17:00,,"New York, USA",,False,3,15685,6004,632,198
#WayBackWednesday : Our very own @Jon_Dojah aka Cobra Tron the first ever @ComboBreaker 2019 Virtua Fighter 5 CHAMPION back in 2009 with @Gootecks and @ThatMikeRossGuy ! Who knew how big all 3 of these guys would blow up some day 🇺🇸🥳 #FGClegends @TVfgc 🙏 https://t.co/XE4VYvU9Qo https://t.co/i9vsI7LEpp,1560052016440754176,teamstrike1st,1047604275440836608,2018-10-03 21:48:17,,United States,,False,1,1196,1240,212,206
Liz Randall is coming home a champion. Jason Merrick came home a hero. @authorkimberly1 https://t.co/D8wvTNEjte #ContemporaryRomance #Horses https://t.co/e2VZGMWCyo,1560051881342386177,_dpcllc_,1287900503565832194,2020-07-28 00:00:23,,New York,,False,0,0,7111,0,31
"The Payne County District Attorney’s Office filed burglary charges Wednesday against AJ Ferrari, the former Oklahoma State wrestling champion who is currently facing sexual assault charges in Payne County.  https://t.co/6fMPEwEtlh",1560051876443422720,StwNewsPress,24184181,2009-03-13 14:59:34,,"Stillwater, OK",,False,159,469,24419,1466,7905
"SO…HE’S BEST BOUT MACHINE AND MOVES SMOOTHER THAN BUTTER IN THE RING.  HE WAS CHAMPION, BUT GOT HURT.  I WANT HIM TO COME BACK BUT NOT AT THE EXPENSE OF HIS HEALTH.  #AEWDynamite  #aew https://t.co/X0GjoXAi1q",1560051796063633408,twfwrestling,22181502,2009-02-27 19:53:17,,"Northern California, USA",,False,12,23892,20429,1809,671
"Lakers News: Two-Time Champion to Have Jersey Retired by LA This Season

https://t.co/nJp9VIhnju",1560051159167107075,thelakers248,509723277,2012-03-01 04:44:36,,"Los Angeles, CA",,False,246,4846,16831,176,15440
"The @JoyageKingdom hoodie (made by Champion) will be a staple in the 2022 Joyage Fall drop 🍁🍂
|
feat thunder thighs 🏋🏻‍♂️ https://t.co/pJvhjPohoB",1560051133103542273,CadeBergmann,2245630679,2013-12-27 00:17:28,,"Washington, USA",,False,46,21776,15468,429,7189
"Unbelievable. They wrote this about her, but TRUMP!! “It’s hard to make anyone with Liz Cheney’s voting profile sound like a champion of American democracy, because she supports virtually none of the values that serve as its pillars” https://t.co/jGqWdDfmdd",1560050990157553666,DanRiehl,18176907,2008-12-17 00:00:38,,USA,,False,902,6160,296894,25895,27596
